ID,Name,N_rows,Date,Time,Record_identifier,System_status,Latitude,Longitude,Max_sustained_winds,Min_pressure,NE_wind_34,SE_wind_34,SW_wind_34,NW_wind_34,NE_wind_50,SE_wind_50,SW_wind_50,NW_wind_50,NE_wind_64,SE_wind_64,SW_wind_64,NW_wind_64,Max_wind_radius,,
,,,AL051866,UNNAMED,12,,,,,,,,,,,,,,,,,,,,
,,,18660922,0,,HU,40.0N,62.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660922,600,,HU,41.0N,61.7W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660922,1200,,HU,42.0N,60.9W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660922,1800,,HU,43.0N,60.1W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660923,0,,HU,44.0N,59.3W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660923,600,,HU,45.0N,58.6W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660923,1200,,HU,46.0N,57.8W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660923,1800,,HU,47.0N,57.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660924,0,,TS,48.3N,55.9W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660924,600,,TS,49.5N,55.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660924,1200,,EX,51.0N,54.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660924,1800,,EX,52.5N,52.8W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,AL021873,UNNAMED,64,,,,,,,,,,,,,,,,,,,,
,,,18730813,0,,TS,13.9N,25.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730813,600,,TS,14.0N,26.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730813,1200,,TS,14.0N,27.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730813,1800,,TS,14.1N,28.1W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730814,0,,TS,14.1N,29.3W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730814,600,,TS,14.2N,30.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730814,1200,,TS,14.3N,32.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730814,1800,,TS,14.4N,33.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730815,0,,TS,14.5N,34.4W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730815,600,,TS,14.5N,35.9W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730815,1200,,TS,14.5N,37.3W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730815,1800,,TS,14.6N,38.4W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730816,0,,TS,14.7N,39.7W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730816,600,,TS,14.8N,41.2W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730816,1200,,TS,15.0N,42.7W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730816,1800,,TS,15.3N,44.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730817,0,,HU,15.6N,45.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730817,600,,HU,16.0N,47.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730817,1200,,HU,16.5N,49.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730817,1800,,HU,16.9N,50.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730818,0,,HU,17.5N,52.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730818,600,,HU,18.2N,53.6W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730818,1200,,HU,18.7N,55.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730818,1800,,HU,19.5N,56.4W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730819,0,,HU,20.2N,57.9W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730819,600,,HU,21.2N,59.5W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730819,1200,,HU,22.0N,61.0W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730819,1800,,HU,22.9N,62.1W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730820,0,,HU,23.9N,63.5W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730820,600,,HU,24.9N,64.6W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730820,1200,,HU,26.0N,65.6W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730820,1800,,HU,26.8N,66.6W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730821,0,,HU,27.8N,67.3W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730821,600,,HU,29.0N,67.8W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730821,1200,,HU,30.3N,68.2W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730821,1800,,HU,31.0N,68.4W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730822,0,,HU,31.7N,68.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730822,600,,HU,32.5N,68.6W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730822,1200,,HU,33.3N,68.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730822,1800,,HU,34.3N,68.3W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730823,0,,HU,35.2N,68.0W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730823,600,,HU,36.0N,67.6W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730823,1200,,HU,37.0N,67.0W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730823,1800,,HU,38.3N,66.4W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730824,0,,HU,39.5N,65.8W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730824,600,,HU,40.9N,64.6W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730824,1200,,HU,42.0N,63.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730824,1800,,HU,43.0N,61.4W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730825,0,,HU,43.7N,58.9W,90,962,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730825,600,,HU,44.4N,56.6W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730825,1200,,HU,45.0N,55.0W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730825,1800,,HU,45.7N,54.3W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730826,0,,HU,46.0N,54.1W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730826,600,,HU,46.5N,54.1W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730826,1200,,HU,47.0N,54.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730826,1800,,HU,47.4N,54.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730827,0,,HU,47.8N,53.9W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730827,600,,HU,48.2N,53.7W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730827,1200,,EX,48.5N,53.5W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730827,1800,,EX,49.4N,52.6W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730828,0,,EX,50.4N,51.3W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730828,600,,EX,51.0N,49.8W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730828,1200,,EX,52.0N,48.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730828,1800,,EX,53.0N,46.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,AL071886,UNNAMED,22,,,,,,,,,,,,,,,,,,,,
,,,18860820,1200,,TS,31.7N,71.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860820,1800,,TS,30.1N,69.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860821,0,,TS,29.2N,65.5W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860821,600,,HU,30.0N,62.7W,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860821,1200,,HU,32.3N,61.7W,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860821,1800,,HU,33.8N,62.4W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860822,0,,HU,35.0N,63.4W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860822,600,,HU,35.9N,64.2W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860822,1200,,HU,37.0N,65.0W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860822,1800,,HU,38.1N,66.0W,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860823,0,,HU,39.7N,66.9W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860823,600,,HU,41.1N,66.5W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860823,1200,,HU,42.3N,65.0W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860823,1800,,HU,44.1N,62.2W,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860824,0,,HU,45.9N,58.4W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860824,600,,HU,47.6N,54.1W,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860824,1200,,EX,48.5N,50.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860824,1800,,EX,48.6N,46.1W,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860825,0,,EX,48.5N,41.3W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860825,600,,EX,48.3N,37.3W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860825,1200,,EX,48.3N,33.3W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18860825,1800,,EX,48.3N,29.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,AL041891,UNNAMED,34,,,,,,,,,,,,,,,,,,,,
,,,18910902,600,,TS,19.3N,58.2W,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910902,1200,,TS,19.7N,59.2W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910902,1800,,TS,19.9N,60.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910903,0,,TS,20.1N,60.7W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910903,600,,TS,20.4N,61.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910903,1200,,TS,20.8N,62.3W,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910903,1800,,TS,21.3N,63.1W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910904,0,,HU,21.8N,63.9W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910904,600,,HU,22.3N,64.7W,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910904,1200,,HU,22.8N,65.5W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910904,1800,,HU,23.4N,66.2W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910905,0,,HU,23.9N,66.9W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910905,600,,HU,24.6N,67.6W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910905,1200,,HU,25.2N,68.3W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910905,1800,,HU,26.0N,69.0W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910906,0,,HU,27.1N,69.7W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910906,600,,HU,28.3N,70.3W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910906,1200,,HU,29.6N,71.0W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910906,1800,,HU,31.0N,71.4W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910907,0,,HU,32.7N,71.5W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910907,600,,HU,34.7N,71.3W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910907,1200,,HU,36.8N,70.3W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910907,1800,,HU,39.5N,68.0W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910908,0,,HU,42.6N,64.6W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910908,600,,HU,45.8N,60.9W,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910908,1200,,HU,48.6N,57.9W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910908,1800,,HU,50.9N,55.5W,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18910909,0,,EX,52.9N,53.3W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
